"sai.nm","mean.tr0","mean.tr","mean.tt0","mean.tt","tr.idx","tt.idx","comb.idx","tr0.min","tr0.max","tr.min","tr.max","tt0.min","tt0.max","tt.min","tt.max"
"PH_sai.p_act_dance","0.0874597893772228","-0.27164236464439","0.226152698894368","-0.660048161178359","pos","pos","pos",0.0187592515563251,0.115039679311484,-0.348256090854688,-0.0662105931795605,0.149357801840785,0.257660882498333,-0.769674596082478,-0.408481894840211
"PH_sai.p_act_base","0","0","0.014671059843951","-0.0396243110114832","mixed","pos","mixed",-0.024638051248766,0.0363130115396415,-0.0800106183852459,0.0502001952718863,-0.0158009328146136,0.0254535066796875,-0.0578756412895446,0.000154253360366965
"PH_sai.p_act_basket","0.0413648260025323","-0.115518372204395","0","0","pos","mixed","mixed",-0.00669711845935012,0.071990416729381,-0.187079888217748,0.0042891169540581,-0.0121840094885983,0.0679150540595041,-0.157728867415778,0.00790207895063668
"PH_sai.p_act_climb","-0.010193667286503","0.2929280119126","0","0","neg","mixed","mixed",-0.0256286977888275,-0.00462559557426157,0.177997114666749,0.47102822550265,-0.00963108704517902,0.0021491509380719,-0.0522700853862439,0.104238990756915
"PH_sai.p_act_fhock","0.00102011186101803","-0.150130345589015","0.000435594186479067","-0.0720374236893985","pos","pos","pos",-0.000217208260281657,0.00155209139388346,-0.215081178820662,-0.0365754738675933,2.8729022538038e-05,0.000789240640378546,-0.116382491473029,-0.0244520969104375
"PH_sai.p_act_fball","-0.0082865713320733","0.072221896413008","-0.0466582672872647","0.364790183098899","neg","neg","neg",-0.0263895013900568,0.000535612893060544,0.0349677932601564,0.209769867652384,-0.0752040611250002,-0.0209714244917106,0.220025308422882,0.679653258932216
"PH_sai.p_act_gym","0.0595183626330016","-0.208700247647057","0.119264988757338","-0.423294935540535","pos","pos","pos",0.0115071447587318,0.0938362774417162,-0.317425028441493,-0.0751440354122468,-0.00570456143060368,0.144578588882204,-0.538810049491319,-0.0650728470976746
"PH_sai.p_act_ihock","0.0123380727147974","-0.461670581094499","0.00521647692686257","-0.192268578486358","pos","pos","pos",0.00642137243504386,0.0144836405959154,-0.549280387303388,-0.285336349505379,0.00193419116190229,0.0102902877099235,-0.2610991391717,-0.0736887526797392
"PH_sai.p_act_polo","0","0","-0.00260031341085012","0.0493770823694508","mixed","neg","mixed",-0.0152327186610932,0.00410970286158269,-0.0622222923088988,0.129372138720322,-0.014706960961122,-0.000322453139815648,-0.00954203715864378,0.176407192592387
"PH_sai.p_act_iskate","0.0255921641233939","-0.412608853752673","0","0","pos","mixed","mixed",0.00397802489699817,0.0328627294221104,-0.569482700171696,-0.117096206556436,-0.0167661390953315,0.00442244445903059,-0.0539952688352788,0.151014453709323
"PH_sai.p_act_m.arts","-0.160039983576026","0.771516488462643","-0.167456934412181","0.771042369935097","neg","neg","neg",-0.245041878342539,-0.107807699986705,0.564259561531449,1.05062466433662,-0.227226284546185,-0.116834345109594,0.525010823695168,0.978704918589024
"PH_sai.p_act_lax","0.0162656099136102","-0.582040855181742","0.035875985112545","-1.09187458182447","pos","pos","pos",0.0128821083776381,0.0261286122560847,-0.692829139649845,-0.498018078464118,0.0265659804699592,0.0417236991361333,-1.25709041385227,-0.868587789052746
"PH_sai.p_act_rugby","-0.000493130018930284","0.132551030939362","0.00039447199847702","-0.0950270716696266","neg","pos","mixed",-0.000673746483364035,-0.000364026384793388,0.105496402106256,0.144705966657561,0.000216416455365249,0.000546978705901458,-0.115835963621543,-0.0630281408744761
"PH_sai.p_act_skate","-0.0108850516786137","0.236868097027637","-0.0195586974466595","0.439372213884055","neg","neg","neg",-0.0324355083162835,-0.00318393964320376,0.116349694744641,0.422758883810575,-0.0372747406808127,-0.013278702595799,0.325193827349778,0.605939830315337
"PH_sai.p_act_sboard","0.115628591504038","-1.26857393300063","0.0759633735904383","-0.859979757261085","pos","pos","pos",0.0727080065798283,0.127993466170458,-1.46874936903385,-0.845474164193112,0.0530982362524851,0.102707675115815,-1.1046906754474,-0.565085112469909
"PH_sai.p_act_soc","0.0793505945619909","-0.118502902620903","0.215232249213173","-0.297678656232147","pos","pos","pos",-0.00961933113678246,0.130101741106294,-0.192611032507843,-0.0187152354538681,0.0756111551605664,0.290877706779657,-0.408532891025016,-0.103987200307879
"PH_sai.p_act_surf","0","0","-0.00073389275349688","0.181245903548892","mixed","neg","mixed",-0.00263262314127597,0.000593350526484716,-0.108603029727439,0.0629739859257866,-0.00136569137506733,2.67546923736848e-05,0.100211846922943,0.243844398915971
"PH_sai.p_act_wpolo","0","0","0","0","mixed","mixed","mixed",-0.0393832597141049,0.0483959459087407,-0.0778901198475403,0.0225578499621879,-0.0256186125967453,0.0706637351753004,-0.132050020229889,0.0221503350095678
"PH_sai.p_act_tennis","0.0579637904323358","-0.771781163111313","0.0487665344797239","-0.72101078578054","pos","pos","pos",0.0395706571122605,0.0858456003184336,-1.01264583670668,-0.541243999697326,0.0263264647074802,0.0564447203290903,-0.893626107046241,-0.381853043993179
"PH_sai.p_act_run","0.0111778443110517","-0.152059925880312","0.0109720554929682","-0.14656319320203","pos","pos","pos",-0.00260326674012097,0.0183142796301696,-0.224822051587675,-0.0217868788579628,0.00126336724326805,0.0193093673996166,-0.222168006439991,-0.0536712945718101
"PH_sai.p_act_mma","-0.00205899036016416","0.078614893830675","-0.0287605702145395","0.872266283620724","neg","neg","neg",-0.00481018117971668,0.00116162709568499,0.00574228558763818,0.155875051930071,-0.0516619758782339,-0.0209235931491548,0.676174485794114,1.15844115174163
"PH_sai.p_act_vball","0.0246036476246418","-0.887990288968125","0.0119279075501456","-0.421339485913854","pos","pos","pos",0.0176555171948969,0.0317631056658092,-0.994703819198982,-0.71568752760666,0.00466164710647872,0.0146481129156273,-0.522805538708933,-0.21089498635544
"PH_sai.p_act_yoga","0","0","-0.00639440364105857","0.270976893996815","mixed","neg","mixed",-0.0126303531407175,0.00369404778388485,-0.0484167359059293,0.289558342954738,-0.0127914412542063,-0.0041832199593562,0.193118914560388,0.379151713857237
"PH_sai.p_act_music","0.181953607112627","-0.262251511199234","0.181776292783135","-0.273708999512651","pos","pos","pos",0.0791425053162241,0.230539029044894,-0.344982660427701,-0.11839516130847,0.0789131980174938,0.237317079540695,-0.342932212195129,-0.140619347714811
"PH_sai.p_act_art","0","0","0","0","mixed","mixed","mixed",-0.0309286795479418,0.019099846704145,-0.0428661389098492,0.112760404824424,-0.0260664385829499,0.0173414260568227,-0.0336815604339756,0.0883734397130519
"PH_sai.p_act_drama","-0.00907063220994283","0.0674703469085958","0","0","neg","mixed","mixed",-0.0259456954646644,0.00307118417392999,0.00769647319170976,0.165424462903833,-0.0172267378341097,0.0171513678684517,-0.15062864374015,0.0538446039232435
"PH_sai.p_act_crafts","0","0","0.0140457039549926","-0.141182638905027","mixed","pos","mixed",-0.0109561263365685,0.0176524310085454,-0.100437222072081,0.0631542514869478,0.0092327627035341,0.039171805706064,-0.236444061103523,-0.109328370593917
"PH_sai.p_act_chess","0.00493580297198671","-0.0392084367006443","0","0","pos","mixed","mixed",-0.00479364228723535,0.0171255264413053,-0.0961143766190326,0.000376114044618978,-0.00464853105763717,0.0233911132511167,-0.0626396392977054,0.0208679227816498
"PH_sai.p_act_collect","-0.0660753686058252","0.889133380609554","-0.044902207759196","0.602513970359813","neg","neg","neg",-0.082063505260385,-0.0333675582000247,0.463758336445487,1.04647605066355,-0.0649990042925141,-0.0338852207791189,0.479392984397474,0.912438114787906
